"CODE_PRODUIT","LIBELLE_PRODUIT","SIQO_FILIERE","RICA_var","RICA_var_libelle","RICA_var_code","RICA_var_code_libelle","species","production_type"
"A981","YONNE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A1152","WHISKY D ALSACE OU WHISKY ALSACIEN","IG, EAUXDEVIE ET AUTRES ALCOOLS",NA,NA,NA,NA,NA,NA
"A119","VOUVRAY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A242","VOUGEOT","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A241","VOSNEROMANEE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A240","VOLNAY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A543","VOLAILLES DU VELAY","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A540","VOLAILLES DU MAINE","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A539","VOLAILLES DU LAURAGAIS","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A538","VOLAILLES DU LANGUEDOC","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A558","VOLAILLES DU GERS","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A537","VOLAILLES DU GATINAIS","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A551","VOLAILLES DU FOREZ","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A550","VOLAILLES DU CHAROLAIS","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A536","VOLAILLES DU BERRY","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A534","VOLAILLES DES LANDES","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A533","VOLAILLES DE VENDEE","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A549","VOLAILLES DE NORMANDIE","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A532","VOLAILLES DE LOUE","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A530","VOLAILLES DE LICQUES","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A529","VOLAILLES DE LA DROME","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A528","VOLAILLES DE LA CHAMPAGNE","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A531","VOLAILLES DE L ORLEANAIS","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A552","VOLAILLES DE L AIN","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
