"AROPAJ","DMI_t_LU_y"
"8-days_slaughtered_calves",0.222077382787355
"2-months_slaughtered_calves",0.256897796717333
"6-months_calves_(field)",0
"calves_reported_on-farm_young_bulls",1.97165017371575
"calves_reported_on-farm_more_2-yr_bulls",1.89861235543641
"female_calves_from_dairy_herd_non_reported_on_farm",1.70814141127151
"female_calves_from_breeding_herd_non_reported_on_farm",1.79574314671117
"female_calves_reported_on_farm",1.79718986674968
"male_calves_bought_young_bulls",1.85831675806522
"male_calves_bought_bulls_(>_2_years)",1.66986360551023
"female_calves_bought_to_renew_the_dairy_herd",1.82249076233172
"female_calves_bought_to_renew_the_breeding_herd",2.12067605189148
"18-months_bulls",4.52202975841477
"1-yr_males_from_vb_or_jb_to_be_bulls",4.02460861672047
"1-yr_males_bought_bulls",5.83964349628989
"1-yr_female_on-farm_dairy_herd",2.99677887407359
"1-yr_female_on-farm_breeding_herd",3.13580131889872
"1-yr_female_bought_for_dairy_herd",3.27446590376
"1-yr_female_bought_for_breeding_herd",3.43424201850901
"2-yr_males_on-farm_>_beef",5.62017799611495
"dairy_heifers",4.90463826236356
"bred_heifers",4.15639064867484
"dairy_cows",7.35477593845066
"suckler_cows",5.72202785274802
"sheep",0.804360760685846
"goats",1.13800616607199
"pigs",1.1010488568912
"poultry",3.57317297512577
"horse",4.5
