"land_use_type","metric_code","alpha","sigma","beta","gamma","delta","epsilon"
"arable","N_ferti",3.65230980848391,0.5,-0.5,-0.0188852941150119,1.2625,1.679482057587
"grassland","N_ferti",2.25230980848391,0.5,-0.5,-0.0188852941150119,1.4703125,1.679482057587
"arable","crop_diversity",2,0.303125,1,0,0.2222,1
"arable","ground_cover",2.62062176016326,0.187405218212993,0,0,0.569551,1
"arable","hedge_density",7,0.552209,0.6992,-0.08,1.61499101772254,1.08
"grassland","hedge_density",7,0.552209,0.6992,-0.08,1.99883958949989,1.08
"grassland","livestock_density",4.0125,0.271793,0,0,1.35,1
"arable","mean_field_size",5.3625,0.395285768956369,0,0,0.810982234293554,1
"arable","pesticides",2.24134392740203,0.0953303648522644,0,0,0.964696021478196,1
"arable","share_Nmin_ferti",3.15390253205596,0.4,0,-0.09,0.566635251505241,1.09
"grassland","share_Nmin_ferti",2.94609003205596,0.4,0,-0.09,0.566635251505241,1.09
"arable","tillage",2,0.271793,0,0,1,1
