"cc_ift","lib_ift","source","ifthref","iftfref","iftiref","iftaref","iftt1ref","ifttsref","ifttref","iftbcref","ifthbcref","ifthhref"
1,"Banane","SSP - Agreste - Enquête Pratiques phytosanitaires en arboriculture 2018",0.9,6.1,NA,0,7,0,7,0.9,6.1,6.1
2,"Betterave sucriere","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",2.6,1.7,0.2,NA,4.5,1,5.5,NA,5.5,2.9
3,"Ble dur","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.5,1.4,0.1,0.3,3.3,1,4.2,NA,4.2,2.7
4,"Ble tendre","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.8,1.6,0.2,0.6,4.2,0.9,5.1,0.02,5.1,3.3
5,"Canne a sucre","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",2.6,0,NA,NA,2.7,0,2.7,NA,2.7,0.1
7,"Cerise","SSP - Agreste - Enquête Pratiques phytosanitaires en arboriculture 2018",0.2,3.9,4,0.1,8.2,0,8.2,0.9,7.3,8
9,"Colza","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.9,1.1,2.1,0.4,5.6,0.8,6.4,0,6.3,4.5
10,"Feverole","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.12,0.83,0.6,0.14,2.69,0.49,3.17,NA,3.16,2.05
12,"Lin fibre","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",2.13,0.57,1.46,NA,4.2,0.93,5.13,NA,5.13,3
13,"Lin oleagineux","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.69,0.82,0.3,0.34,3.15,0.64,3.79,NA,3.78,2.1
14,"Mais fourrage","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.4,NA,0,NA,1.5,0.9,2.4,NA,2.4,1
16,"Melange de cereales","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.45,0.8,0.05,0.3,2.6,0.85,3.5,0,3.45,2.05
17,"Orge","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.7,1.1,0.1,0.5,3.4,0.9,4.4,0,4.3,2.7
18,"Peche","SSP - Agreste - Enquête Pratiques phytosanitaires en arboriculture 2018",0.4,10.4,7.4,NA,18.4,0,18.4,2.1,16.3,18
20,"Pois proteagineux","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.3,1.2,1.2,NA,3.8,0.8,4.6,NA,4.6,3.3
21,"Pomme de terre","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",2.5,11.7,1.4,0.3,15.8,0.8,16.5,0.4,16.2,14
22,"Prune","SSP - Agreste - Enquête Pratiques phytosanitaires en arboriculture 2018",0.2,4.9,3.1,0.1,8.3,0,8.3,0.9,7.4,8.1
25,"Soja","SSP - Agreste - Enquête Pratiques culturales en grandes cultures 2017",1.54,NA,NA,0.11,1.66,0.1,1.76,NA,1.73,0.22
