"Feed_Description","User_Friendly_Label","Metabolisable_Energy_MJ_per_kg","Dry_Matter_Digestibility_pct","Nitrogen_pct","Utilisation_pct","Data_Source"
"Apple Pomace, Byproduct","Apple Pomace",13,89,1.1,85,"OVERSEER"
"Apple, Byproduct","Apple",11.9,82,0.6,85,"OVERSEER"
"Barley Grain, Concentrate","Barley Grain",12.96,90.39,1.9,85,"Hill Lab"
"Barley, Silage","Barley Silage",9.8,64.27,1.81,85,"Hill Lab"
"Barley, Straw","Barley Straw",6.9,51,0.64,85,"OVERSEER"
"Bread, Byproduct","Bread",14,95,2.08,85,"OVERSEER"
"Brewers Grain, Concentrate","Brewers Grain",10,79,4,85,"OVERSEER"
"Broll, Concentrate","Broll",11.14,72.77,2.73,85,"Hill Lab"
"Cabbage, Byproduct","Cabbage",13,89,3.2,85,"OVERSEER"
"Canola, Byproduct","Canola Seed",11,75,2.72,85,"OVERSEER"
"Canola Meal, Concentrate","Canola Meal",11.5,76.78,6.1,85,"Dairy NZ***"
"Carrot, Byproduct","Carrot",13.3,91,1.52,85,"OVERSEER"
"Cereal, Silage","Cereal Silage",9.49,61.96,1.86,85,"Hill Lab"
"Chicory, Forage","Chicory",12.75,86.02,3.7,80,"Dairy NZ***"
"Citrus Pulp, Byproduct","Citrus Pulp",12.6,86,1.12,85,"OVERSEER"
"Other Concentrates, Concentrate","Other Concentrates",13,85,2.4,85,"AgResearch"
"Condensed Distillers Syrup, Concentrate","Condensed Distillers Syrup",15,98.15,2.55,85,"Dairy NZ***"
"Corn Grits, Concentrate","Corn Grits",13.5,92,1.84,85,"OVERSEER"
"Cottonseed, Byproduct","Cottonseed",16,83.28,3.7,85,"Dairy NZ***"
"Cottonseed Meal, Concentrate","Cottonseed Meal",11.12,76.32,8.11,85,"Hill Lab"
"Dried Distillers Grain, Concentrate","Dried Distillers Grain (DDG)",12.83,78.1,4.77,85,"Hill Lab"
"Fishmeal, Byproduct","Fishmeal",11,75,11.09,85,"OVERSEER"
"Fodderbeet, Forage","Fodderbeet",12.12,86.25,1.96,80,"Hill Lab"
"Other Food Wastes, Byproduct","Other Food Wastes",12.06,70,1.28,85,"AgResearch"
"Grape Pomace, Byproduct","Grape Pomace",13,89,1.12,85,"OVERSEER"
"Japanese Millet, Forage","Japanese Millet",9,62,1.92,80,"OVERSEER"
"Kale, Forage","Kale",12.67,85.47,2.81,80,"Hill Lab"
"Kiwifruit, Byproduct","Kiwifruit",12,82,0.8,85,"OVERSEER"
"Lucerne, Forage","Lucerne Forage",11,73.11,4.8,80,"Dairy NZ***"
"Lucerne, Baleage","Lucerne Baleage",10,68,3.68,85,"OVERSEER"
"Lucerne Meal, Concentrate","Lucerne Meal",10,68,3.2,85,"OVERSEER"
"Lucerne, Silage","Lucerne Silage",9.36,61.22,3.08,85,"Hill Lab"
"Lupin, Concentrate","Lupin",12.1,77.52,5.5,85,"Dairy NZ***"
"Maize, Forage","Maize Forage",9.5,65,1.1,80,"OVERSEER"
"Maize Grain, Concentrate","Maize Grain",13.77,93.88,1.4,85,"Hill Lab"
"Maize, Silage","Maize Silage",10.86,72.08,1.25,85,"Hill Lab"
"Maize, Straw","Maize Straw",6.9,51,0.8,85,"OVERSEER"
"Pasture, Baleage","Mixed Pasture
Baleage / Haylage",9.97,65.62,2.29,85,"Hill Lab"
"Pasture, Silage","Mixed Pasture Silage",9.88,64.99,2.36,85,"Hill Lab"
"Oat Hull Pellets, Concentrate","Oat Hull Pellets",11,50,1.8,85,"OVERSEER"
"Oat, Silage","Oat Silage",8.9979,58.47,1.91,85,"Hill Lab"
"Oat, Straw","Oat Straw",6.9,51,0.54,85,"OVERSEER"
"Onion, Byproduct","Onion",12,82,1.6,85,"OVERSEER"
"Palm Kernel Extract, Concentrate","Palm Kernel Extract (PKE)",11.558,82,2.79,85,"Hill Lab"
"Pasture, Hay","Pasture Hay",8.5,54.66,1.9,85,"Dairy NZ***"
"Pea, Silage","Pea Silage",8.8,72,2.1,85,"OVERSEER"
"Pea, Straw","Pea Straw",6.9,51,1.28,85,"OVERSEER"
"Pea Dried, Concentrate","Pea Dried",13.2,90,4.1,85,"OVERSEER"
"Plantain, Forage","Plantain Forage",11.5,76.8,2.75,80,"Dairy NZ***"
"Plantain, Silage","Plantain Silage",8.8769,57.44,2.1,85,"Hill Lab"
"Pollard, Byproduct","Pollard",11,75,2.72,85,"OVERSEER"
"Potato, Byproduct","Potato",12.5,86,1.7,85,"OVERSEER"
"Proliq, Byproduct","Proliq",11.3,77,1.2,85,"OVERSEER"
"Rape, Forage","Rape",13.021,88.03,3.42,80,"Hill Lab"
"Ryegrass, Straw","Ryegrass Straw",6.9,51,0.96,85,"OVERSEER"
"Sorghum, Forage","Sorghum Forage",9,62,1.92,80,"OVERSEER"
"Sorghum, Silage","Sorghum Silage",8.102,51.58,2.02,85,"Hill Lab"
"Soya Bean Hull, Concentrate","Soyabean Hull",12,82.35,2.2,85,"Dairy NZ***"
"Soya Bean Meal, Concentrate","Soyabean Meal",12.752,89.02,8.27,85,"Hill Lab"
"Squash, Byproduct","Squash / Pumpkin",13,89,1.6,85,"OVERSEER"
"Sugar Beet, Forage","Sugar Beet",11,84,1.5,80,"OVERSEER"
"Sulla, Forage","Sulla",10,68,3.8,80,"OVERSEER"
"Sunflower Pellets, Concentrate","Sunflower Pellets",10.7,61.1,5.18,85,"OVERSEER"
"Swede, Forage","Swede",13.54,85.88,3.09,80,"Hill Lab"
"Sweetcorn Waste, Byproduct","Sweetcorn Waste",8,61,1.3,85,"OVERSEER"
"Tapioca, Concentrate","Tapioca",11.289,79.64,0.63,85,"Hill Lab"
"Triticale, Forage","Triticale Forage",8.6,55.4,2.2,80,"Dairy NZ***"
"Triticale, Silage","Triticale Silage",8.6081,55.42,1.52,85,"Hill Lab"
"Turnip, Forage","Turnip",13.54,85.88,3.087,80,"Hill Lab"
"Wheat Grain, Concentrate","Wheat Grain",13.377,94.07,2.12,85,"Hill Lab"
"Whey Concentrate, Concentrate","Whey Concentrate",11.3,91.3,2,85,"OVERSEER"
"Wheat, Straw","Wheat Straw",6.9,51,0.64,85,"OVERSEER"
