"Sailley_feed","Tous_animaux_d_elevage","Bovins_laitiers_et_mixtes","Bovins_à_viande","Porcs","Volailles_de_chair","Volaille_de_ponte","Palmipedes_gras","Caprins","Ovins_laitiers","Ovins_à_viande","Equins","Lapins","feed_type","relative_weight","FADN_code_feed","EUROSTAT_feedstuff","feed_produced_onfarm","feed_tables","NZ_feed_DE","notes"
"Total_matieres_premieres_concentrees",34037,8446,4019,7767,6090,3255,2100,404,282,521,309,399,"feed_concent","0",NA,NA,NA,NA,NA,NA
"Grains",19637,3067,2213,5583,4039,2127,1752,251,178,353,175.746898759916,65,"feed_concent","0",NA,NA,NA,NA,NA,NA
"Cereales",18903,2845,2115,5512,3895,2106,1571,251,178,353,172.615566490634,63,"feed_concent","Cereales-(Dont_ble_tendre+Dont_mais_grain+Dont_orge","CWHTD;CRYE;COAT;CCEROTH","fodder_wheat;barley;oats;maize","T","Millet,_pearl;Millet,_proso;Oat_groats;Oats;Oats,_flaked;Rice,_brown;Rice,_paddy;Rice,_polished,_broken;Rye;Sorghum;Triticale;Wheat,_durum","Wheat Grain, Concentrate;Maize Grain, Concentrate;Corn Grits, Concentrate;Barley Grain, Concentrate","EUROSTAT_feedstuff : average of grains"
"Dont_ble_tendre",7780,1176,897,1688,2191,1128,553,30,31,56,40.4233469656862,24,"feed_concent","Dont_ble_tendre","CWHTC","fodder_wheat","T","Wheat,_soft","Wheat Grain, Concentrate",NA
"Dont_mais_grain",6786,704,675,2464,1026,739,963,57,53,93,46.8963456107598,9,"feed_concent","Dont_mais_grain","CMZ","maize","T","Maize","Maize Grain, Concentrate;Corn Grits, Concentrate",NA
"Dont_orge",1917,289,245,798,119,117,28,102,58,148,51.7510680542123,9,"feed_concent","Dont_orge","CBRL","barley","T","Barley","Barley Grain, Concentrate",NA
"Oleoproteagineux",735,224,99,72,143,20,183,0,1,1,3.4991103534627,1,"feed_concent","Oleoproteagineux","CPEA;CLNTL;CCRPPROTOTH;CLEG;CRAPE;CSNFL;CSOYA;CLINSED;CCRPOILOTH","fodder_wheat;barley;oats;maize","T","Chickpea,_kabuli_type;Common_bean;Common_vetch;Cottonseed,_whole;Cottonseed,_whole,_extruded;Cowpea_seed;Faba_bean,_coloured_flowers;Faba_bean,_coloured_flowers,_extruded;Faba_bean,_white_flowers;Lentils;Linseed,_whole;Linseed,_whole,_extruded;Lupin,_blue;Lupin,_white;Lupin,_white,_extruded;Pea;Pea,_extruded;Rapeseed,_whole;Rapeseed,_whole,_extruded;Soybean,_whole,_extruded;Soybean,_whole,_flaked;Soybean,_whole,_toasted;Soybean,_whole,_toasted,_flaked_and_expanded;Sunflower_seed,_whole","Canola, Byproduct;Cottonseed, Byproduct;Lupin, Concentrate;Pea Dried, Concentrate;Soya Bean Hull, Concentrate","EUROSTAT_feedstuff : average of grains"
"Coproduits",13693,5142,1724,1994,1945,1034,346,156,103,158,129.311625756977,334,"feed_concent","0",NA,NA,"F",NA,NA,NA
"Cerealiers",3000,1470,440,646,155,104,25,44,11,34,30.6963045186203,57,"feed_concent","Cerealiers","CWHTC;CWHTD;CRYE;CBRL;COAT;CMZ;CRICE;CCEROTH","wheat_bran;ground_barley;ground_maize","F","Bakery_byproduct;Barley_distillers_grains,_dried;Barley_distillers_grains,_whisky_production,_fresh;Barley_rootlets,_dried;Biscuit_byproduct;Brewers_grains,_dried;Buckwheat_hulls;Cereal_offal,_crude_fibre_5-14%;Cereal_offal,_crude_fibre_>_14%;Corn_gluten_feed;Corn_gluten_meal;Maize_bran;Maize_bran,_starch_production;Maize_distillers_grains_and_solubles,_oil_<_6_%,_dried;Maize_distillers_grains_with_solubles,_ethanol_production,_dried;Maize_flour_byproduct,_protein_8-18%,_oil_14-30%;Maize_flour_byproduct,_protein_8-18%,_oil_5-14%;Maize_flour_byproduct,_protein_8-18%,_oil_<5%;Maize_flour,_crude_fibre_2-10%;Maize_flour,_crude_fibre_<_2%;Maize_germ_meal,_oil_5-20%;Maize_germ_meal,_oil_<_5%;Maize_germs;Maize_starch;Oat_hulls;Rice_bran,_oil_<_5%,_crude_fibre_11-20%;Rice_bran,_oil_<_5%,_crude_fibre_5-11%;Rice_bran,_oil_<_5%,_crude_fibre_>_20%;Rice_bran,_oil_>_5%,_crude_fibre_11-20%;Rice_bran,_oil_>_5%,_crude_fibre_5-11%;Rice_bran,_oil_>_5%,_crude_fibre_>_20%;Rice_hulls;Rice_shorts,_oil_<_5%,_crude_fibre_<_5%;Rice_shorts,_oil_>_5%,_crude_fibre_<_5%;Wheat_bran;Wheat_bran_from_starch_production;Wheat_bran,_durum;Wheat_distillers_grains,_starch_<_7%,_dried;Wheat_distillers_grains,_starch_>_7%,_dried;Wheat_feed_flour;Wheat_feed_flour,_durum;Wheat_flour_""Gruau_D"",_durum;Wheat_gluten;Wheat_gluten_feed,_type_20%_starch;Wheat_gluten_feed,_type_30%_starch;Wheat_middlings_(average);Wheat_middlings,_durum;Wheat_middlings,_starch_20-30%;Wheat_middlings,_starch_30-40%;Wheat_middlings,_starch_<_20%;Wheat_middlings,_starch_>_40%","Brewers Grain, Concentrate;Broll, Concentrate;Bread, Byproduct;Oat Hull Pellets, Concentrate;Pollard, Byproduct;Dried Distillers Grain, Concentrate;Condensed Distillers Syrup, Concentrate",NA
"Tourteaux",7823,2603,773,1152,1459,780,243,15,33,56,47.101810826327,101,"feed_concent","Tourteaux-Dont_tourteau_de_soja","CSNFL;CRAPE","Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","F","Rapeseed_meal,_oil_<_5%;Rapeseed_meal,_oil_5-20%;Sunflower_meal,_oil_<_5%,_dehulled;Sunflower_meal,_oil_<_5%,_non_dehulled;Sunflower_meal,_oil_5-20%,_dehulled;Sunflower_meal,_oil_5-20%,_non_dehulled","Canola Meal, Concentrate;Cottonseed Meal, Concentrate;Sunflower Pellets, Concentrate","In_France_in_2015,_51 %_of_meal_from_rapeseed_and_sunflower"
"Dont_tourteau_de_soja",3824,1367,290,224,1127,425,103,1,20,8,19.9466506210039,0,"feed_concent","Dont_tourteau_de_soja","CSOYA","Toasted_extracted_soyabean_meal","F","Soybean_meal,_oil_5-20%;Soybean_meal,_oil_<_5%,_46%_protein_+_oil;Soybean_meal,_oil_<_5%,_48%_protein_+_oil;Soybean_meal,_oil_<_5%,_48%_protein_+_oil,_extruded;Soybean_meal,_oil_<_5%,_48%_protein_+_oil,_formaldehyde-treated;Soybean_meal,_oil_<_5%,_50%_protein_+_oil","Soya Bean Meal, Concentrate","In_France_in_2015,_49%_of_meal_from_rapeseed_and_sunflower"
"Huiles_vegetales",112,0,0,6,92,18,0,0,0,0,0,0,"feed_concent","Huiles_vegetales","CSNFL;CRAPE;CSOYA;CLINSED;CCRPOILOTH","wheat_bran;ground_barley;ground_maize;Linseed_cake_(expeller);Toasted_extracted_soyabean_meal;Dried_sugar_beet_pulp;Dried_lucerne","F","Copra_oil;Palm_oil;Rapeseed_oil;Soybean_oil;Sunflower_oil","Palm Kernel Extract, Concentrate","EUROSTAT_feedstuff : average of coproducts"
"Luzerne_deshydratee",576,219,125,0,0,0,0,44,41,11,20.5451568714982,77,"feed_concent","Luzerne_deshydratee","CLEG","Dried_lucerne","F","Alfalfa,_dehydrated,_protein_<_16%_dry_matter;Alfalfa,_dehydrated,_protein_>_25%_dry_matter;Alfalfa,_dehydrated,_protein_16-18%_dry_matter;Alfalfa,_dehydrated,_protein_17-19%_dry_matter;Alfalfa,_dehydrated,_protein_19-22%_dry_matter;Alfalfa,_dehydrated,_protein_22-25%_dry_matter","Lucerne Meal, Concentrate",NA
"Pulpes_de_betteraves",900,488,233,8,6,5,1,27,5,38,16.8869915627135,81,"feed_concent","Pulpes_de_betteraves","CFODRTBR","Dried_sugar_beet_pulp","F","Beet_pulp,_dried;Beet_pulp,_pressed","Sugar Beet, Forage",NA
