"FADN_code_letter","FADN_code_number","FADN_code_description","land_use_type","RICA_code_number","product_name","comment_match_FADN_RICA","notes","species","crop_family","TFI_crop_name","justif_IFT","EPK_ferti_crop_name","justif_EPK","feed_type","EUROSTAT_feedstuff","EUROSTAT_match_comment","SAA_Agreste_2020","feed_tables","IPCC_default_values"
"CWHTC","10110","Common wheat and spelt","arable","111","Ble_tendre","Direct match (soft wheat and spelt)",NA,"cereal","poaceae","Ble tendre","same denomination","Ble_tendre","same denomination","feed_concent","fodder_wheat","Direct match",NA,"Wheat,_soft","Winter Wheat;Spring Wheat;Wheat"
"CWHTD","10120","Durum wheat","arable","112","Ble_dur","Direct match",NA,"cereal","poaceae","Ble dur","same denomination","Ble_dur","same denomination","feed_concent","fodder_wheat","Grouped with wheat",NA,"Wheat,_durum","Winter Wheat;Spring Wheat;Wheat"
"CRYE","10130","Rye","arable","113","Seigle","Direct match","pas de correspondance dans EPK, on fait un mélange des autres céréales","cereal","poaceae","Ble tendre;Ble dur;Orge;Melange de cereales;Triticale","average of other cereals","Ble_tendre;Ble_dur;Orge;Triticale","average of other cereals","feed_concent","fodder_wheat;barley;ground_barley;oats;maize;ground_maize;wheat_bran;cereal_straw","Cereals average",NA,"Rye","Rye"
"CBRL","10140","Barley","arable","114;115","Orge_de_printemps;Orge_d_hiver_et_escourgeon","Combine spring and winter barley",NA,"cereal","poaceae","Orge","same denomination","Orge","same denomination","feed_concent","barley;ground_barley","Direct + processed form",NA,"Barley","Barley"
"COAT","10150","Oats","arable","116","Avoine","Direct match","pas de correspondance dans EPK, on fait un mélange des autres céréales","cereal","poaceae","Ble tendre;Ble dur;Orge;Melange de cereales;Triticale","average of other cereals","Ble_tendre;Ble_dur;Orge;Triticale","average of other cereals","feed_concent","oats","Direct match",NA,"Oats","Oats"
"CMZ","10160","Grain maize","arable","118","Mais_grain","Direct match",NA,"cereal","poaceae","Mais grain","same denomination","Mais_grain","same denomination","feed_concent","maize","Direct match",NA,"Maize","Maize"
"CRICE","10170","Rice","arable","120","Riz","Direct match",NA,"cereal","poaceae","Riz","same denomination","Ble_tendre;Ble_dur;Orge;Triticale","average of other cereals",NA,"fodder_wheat;barley;ground_barley;oats;maize;ground_maize;wheat_bran;cereal_straw","Cereals average",NA,"Rice,_brown;Rice,_paddy;Rice,_polished,_broken","Rice"
"CCEROTH","10190","Other cereals for the production of grain","arable","117;121;122","Melange_cereales_d_ete;Triticale;Autres_cereales","Combine unmatched cereals","pas de correspondance dans EPK, on fait un mélange des autres céréales;","cereal","poaceae","Ble tendre;Ble dur;Orge;Melange de cereales;Triticale","same denomination;average of other cereals","Ble_tendre;Ble_dur;Orge;Triticale","average of other cereals","feed_concent","fodder_wheat;barley;ground_barley;oats;maize;ground_maize;wheat_bran;cereal_straw","Cereals average",NA,"Barley;Maize;Maize,_extruded;Maize,_flaked;Maize,_high_moisture;Millet,_pearl;Millet,_proso;Oat_groats;Oats;Oats,_flaked;Rice,_brown;Rice,_paddy;Rice,_polished,_broken;Rye;Sorghum;Triticale;Wheat,_durum;Wheat,_soft;Triticale","Generic Grains"
"CPEA","10210","Peas, field beans and sweet lupines","arable","214;215;217;218","Fève et féverole;Pois_sec_pour_l_alimentation_humaine;Pois protéagineux;Lupin doux","Combine protein crops",";pas de correspondance dans EPK, on fait un mélange des autres légumineuses","legumes","fabaceae","Feverole;Pois proteagineux","same denomination;average of other legumes","Feverole;Pois_proteagineux","average of other legumes","feed_concent","Dried_lucerne","Legume/protein crop average",NA,NA,"Beans and Pulses;Beans & pulses"
"CLNTL","10220","Lentils, chickpeas and vetches","arable","216;219","Lentille;Pois_chiche_et_vesce","Direct grouping","pas de correspondance dans EPK, on fait un mélange des autres légumineuses","legumes","fabaceae","Feverole;Pois proteagineux","average of other legumes","Feverole;Pois_proteagineux","average of other legumes","feed_concent","Dried_lucerne","Legume/protein crop average",NA,"Lentils;Chickpea,_kabuli_type;Common_bean;Common_vetch;Cottonseed,_whole;Cottonseed,_whole,_extruded;Cowpea_seed;Faba_bean,_coloured_flowers;Faba_bean,_coloured_flowers,_extruded;Faba_bean,_white_flowers;Lentils;Pea;Pea,_extruded;Lupin,_blue;Lupin,_white;Lupin,_white,_extruded","Beans and Pulses;Beans & pulses"
"CCRPPROTOTH","10290","Other protein crops","arable","220","Autres légumes secs","Generic legume category",";pas de correspondance dans EPK, on fait un mélange des autres légumineuses","legumes","fabaceae","Feverole;Pois proteagineux","same denomination;average of other legumes","Feverole;Pois_proteagineux","average of other legumes","feed_concent","Dried_lucerne","Legume/protein crop average",NA,"Faba_bean,_coloured_flowers;Faba_bean,_coloured_flowers,_extruded;Faba_bean,_white_flowers;Pea;Chickpea,_kabuli_type;Common_bean;Common_vetch;Cottonseed,_whole;Cottonseed,_whole,_extruded;Cowpea_seed;Faba_bean,_coloured_flowers;Faba_bean,_coloured_flowers,_extruded;Faba_bean,_white_flowers;Lentils;Pea;Pea,_extruded;Lupin,_blue;Lupin,_white;Lupin,_white,_extruded","Beans and Pulses;Beans & pulses"
"CPOT","10300","Potatoes (incl early and seed)","arable","201;202;203","Pomme de terre primeur et nouvelle;Pomme de terre de conservation;Pomme de terre de plant","Grouped",NA,"root_vegetable",NA,"Pomme de terre",NA,NA,NA,NA,"Dried_sugar_beet_pulp","Root crop average",NA,NA,"Potatoes and Tubers;Potato;Tubers;Root crops, other"
"CPOTD","10300","Potatoes for starch and other potatoes (incl early and seed)","arable",NA,NA,NA,NA,"root_vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPOTST","10310","Potatoes for starch","arable","204","Pomme_de_terre_de_feculerie","Direct match",NA,"root_vegetable","solanaceae","Pomme de terre","same denomination","Pomme_de_terre","same denomination",NA,"Dried_sugar_beet_pulp","Root crop average",NA,"Liquid_potato_feed;Potato_protein_concentrate;Potato_pulp,_dried;Potato_tuber,_dried","Potatoes and Tubers;Potato;Tubers;Root crops, other"
"CPOTOTH","10390","Other potatoes","arable","201;202;203","Pomme_de_terre_primeur_et_nouvelle;Pomme_de_terre_de_conservation;Pomme_de_terre_de_plant","Grouped",NA,"root_vegetable","solanaceae","Pomme de terre primeur;Pomme de terre de consommation;Pomme de terre","same denomination","Pomme_de_terre","same denomination",NA,"Dried_sugar_beet_pulp","Root crop average",NA,"Liquid_potato_feed;Potato_protein_concentrate;Potato_pulp,_dried;Potato_tuber,_dried","Potatoes and Tubers;Potato;Tubers;Root crops, other"
"CSUGBT","10400","Sugar beet (excluding seed)","arable","213","Betterave_sucriere","Direct match",NA,"root_vegetable","chenopodiaceae","Betterave sucriere","same denomination","Betterave_sucriere","same denomination",NA,"Dried_sugar_beet_pulp","Direct by-product match",NA,"Beet_pulp,_dried;Beet_pulp,_pressed","Potatoes and Tubers;Tubers;Root crops, other"
"CFODRTBR","10500","Fodder roots and brassicas (excluding seed)","arable","311","Plantes_sarclees_fourrageres","Closest match","pas de correspondance dans EPK, on fait un mélange des plantes sarclées ; Plantes sarclées fourragères (n. c. semences) : betterave fourragère, chou fourrager, rutabaga, carotte et navet fourragers, betterave demi-sucrière, autres plantes sarclées (n. c. semences).","root_vegetable","multi","Betterave sucriere;Pomme de terre","average of other weeded forage plants","Betterave_sucriere;Pomme_de_terre","average of other weeded forage plants","feed_rough","Dried_sugar_beet_pulp","Root crop average","Autres fourrages annuels, n.c.a.","Beet_pulp,_dried;Beet_pulp,_pressed;Cassava_pulp,_dried;Cassava,_starch_66-70%;Cassava,_starch_70-74%;Chicory_pulp,_dehydrated;Fodder_beet,_raw;Liquid_potato_feed;Potato_protein_concentrate;Potato_pulp,_dried;Potato_tuber,_dried;Sweet_potato,_dried","Potatoes and Tubers;Tubers;Root crops, other"
"CTOBAC","10601","Tobacco","arable","242","Tabac","Direct match",NA,NA,"solanaceae",NA,NA,NA,NA,NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Industrial crop average",NA,NA,NA
"CHOP","10602","Hops","arable","241","Houblon","Direct match",NA,NA,"cannabaceae",NA,NA,NA,NA,NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Industrial crop average",NA,NA,NA
"CCOTN","10603","Cotton","arable","252","Autres cultures industrielles","No direct match; grouped under industrial crops",NA,"fiber",NA,NA,NA,NA,NA,NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Industrial crop average",NA,NA,NA
"CRAPE","10604","Rape and turnip rape","arable","222","Colza","Direct match",NA,"oilseeds","brassicaceae","Colza","same denomination","Colza","same denomination","feed_concent","Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Oilseed average",NA,"Rapeseed,_whole",NA
"CSNFL","10605","Sunflower","arable","221","Tournesol","Direct match",NA,"oilseeds","asteraceae","Tournesol","same denomination","Tournesol","same denomination","feed_concent","Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Oilseed average",NA,"Sunflower_seed,_whole",NA
"CSOYA","10606","Soya","arable","223","Soja","Direct match",NA,"legumes","fabaceae","Soja","same denomination","Soja","same denomination","feed_concent","Toasted_extracted_soyabean_meal","Direct match",NA,"Soybean,_whole,_extruded;Soybean,_whole,_flaked;Soybean,_whole,_toasted;Soybean,_whole,_toasted,_flaked_and_expanded","Soybeans;Soybean"
"CLINSED","10607","Linseed (oil flax)","arable","225","Lin_oleagineux","Direct match",NA,"oilseeds","linaceae","Lin oleagineux","same denomination","Lin_oleagineux","same denomination","feed_concent","Linseed_cake_(expeller)","Direct by-product match",NA,"Linseed,_whole",NA
"CCRPOILOTH","10608","Other oil seed crops","arable","229","Autres_oleagineux_(ricin_etc.)","Direct match","pas de correspondance dans EPK, on fait un mélange des autres oléagineux","oilseeds","multi","Tournesol;Colza;Lin oleagineux","average of other oil crops","Tournesol;Colza;Lin_oleagineux","average of other oil crops",NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Oilseed average",NA,"Linseed,_whole;Linseed,_whole,_extruded;Rapeseed,_whole;Rapeseed,_whole,_extruded;Soybean,_whole,_extruded;Soybean,_whole,_flaked;Soybean,_whole,_toasted;Soybean,_whole,_toasted,_flaked_and_expanded;Sunflower_seed,_whole",NA
"CFLAX","10609","Flax","arable","232","Lin_a_fibres","Direct match",NA,"fiber","linaceae","Lin fibre","same denomination","Lin_fibre","same denomination",NA,"Linseed_cake_(expeller)","Grouped with linseed",NA,NA,NA
"CHEMP","10610","Hemp","arable","231","Chanvre","Direct match",NA,"fiber","cannabaceae","Lin fibre","other fiber crop","Lin_fibre","other fiber crop",NA,"Linseed_cake_(expeller)","Grouped with linseed",NA,NA,NA
"CFIBOTH","10611","Other fibre plants","arable",NA,NA,NA,NA,"fiber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMEDIC","10612","Aromatic plants, medical and culinary plants","arable","251","Plantes_medicinales_condimentaires_aromatiques","Direct match",NA,NA,"multi","Lavande / Lavandin",NA,NA,NA,NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Industrial crop average",NA,NA,NA
"CSUGCN","10613","Sugar cane","arable","245","Canne_a_sucre","Direct match",NA,NA,"poaceae","Canne a sucre","same denomination",NA,NA,NA,"Dried_sugar_beet_pulp","Sugar crop proxy",NA,NA,NA
"CCRPINDOTH","10690","Other industrial crops not mentioned elsewhere","arable","252","Autres_cultures_industrielles","Direct match",NA,"cereal","multi",NA,NA,NA,NA,NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Industrial crop average",NA,NA,NA
"CCRPINDOTHEXSED_X","10690","Other industrial crops not mentioned elsewhere exluding seed.","arable","252","Autres_cultures_industrielles","Direct match",NA,NA,"multi",NA,NA,NA,NA,NA,"Linseed_cake_(expeller);Toasted_extracted_soyabean_meal","Industrial crop average",NA,NA,NA
"CVEGOF","10711","Fresh veget melons and strawber Open field","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CVEGMG","10712","Fresh veget melons and strawber Market gardening","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
