"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Alfalfa_protein_concentrate",100,56.6,2,9,10.8,0.8,18.6,4.2,1.6,10.3,0.9,0.3,0.7,NA,5230,21.9
"Alfalfa,_dehydrated,_protein_<_16%_dry_matter",100,15.4,30.6,2.3,11.6,0.8,46.7,34.5,8.8,47.7,2.7,0.1,3.9,NA,4400,18.4
"Alfalfa,_dehydrated,_protein_>_25%_dry_matter",100,26.4,24.3,3.9,12.9,0.8,40.9,28.5,7.7,42.6,2.9,0.1,4.4,NA,4560,19.1
"Alfalfa,_dehydrated,_protein_16-18%_dry_matter",100,17,30.2,2.4,12,0.6,46.4,34.2,8.7,47.4,3.1,0.1,4.4,NA,4410,18.5
"Alfalfa,_dehydrated,_protein_17-19%_dry_matter",100,17.9,28.9,2.5,12.3,0.6,45.2,32.9,8.5,46.3,3.1,0.1,4.4,NA,4420,18.5
"Alfalfa,_dehydrated,_protein_19-22%_dry_matter",100,20.1,25.4,3,13.1,0.9,41.9,29.5,7.9,43.5,3.1,0.1,3.5,NA,4420,18.5
"Alfalfa,_dehydrated,_protein_22-25%_dry_matter",100,23.1,22.7,3.3,13,1,39.5,27,7.4,41.3,3.2,0.1,4.4,NA,4490,18.8
"Ammonium_ferric_citrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ammonium_molybdate_tetrahydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Apple_pomace,_dried",100,8,29,3.3,2.3,0.3,54.8,45.9,20.3,69,8.5,2.3,6.6,NA,4600,19.2
"Bakery_byproduct",100,12.5,0.8,5.8,2.8,0.2,7.1,1.4,0.5,6.5,56.6,54.3,14.5,NA,4590,19.2
"Bananas,_immature,_dried",100,4.7,3.6,1.4,4.6,0.1,10.1,6.7,3.6,9.2,72.5,73.7,2,NA,4050,17
"Barley",100,11.3,5.4,1.9,2.5,0.5,21.5,6.5,1.2,17.5,59.9,58.2,2.5,NA,4380,18.3
"Barley_distillers_grains,_dried",100,28.2,11.1,7.3,5.3,1.1,42.9,17.8,3.5,39.5,2.8,2.7,3.5,NA,5040,21.1
"Barley_distillers_grains,_whisky_production,_fresh",100,20.2,18,7.7,3.4,0.9,65.1,27.6,5.9,61.2,1.8,1.7,0.5,NA,5100,21.3
"Barley_rootlets,_dried",100,22.6,13.9,1.8,5.9,1.3,44.6,16.5,2.6,42.3,16.5,16,11,NA,4390,18.4
"Beet_pulp,_dried",100,8.9,19.3,0.9,7.1,1.5,47,23.7,2.7,64.8,1,0.5,7.8,NA,4080,17.1
"Beet_pulp,_pressed",100,8.7,20.8,0.5,6.8,1.5,49.5,24.8,1.8,66.9,0.5,0.4,5.2,NA,4080,17.1
"Biscuit_byproduct",100,10.2,1.1,12.4,2.5,0.2,8.3,1.7,0.6,7.6,44.3,42.5,21.7,NA,4910,20.6
"Black_soldier_fly_larvae,_fat_<_20%,_dried",100,56.6,16.1,12,12.8,0.6,24,13.3,1.7,23.2,0.9,0,4.7,NA,5180,21.7
"Black_soldier_fly_larvae,_fat_>_20%,_dried",100,41.1,9.4,35.5,11.7,0.6,17.4,9.2,2.7,16.6,0.9,0,0,NA,6170,25.8
"Blood_meal",100,93.9,0.8,2,3.3,0.2,0,0,0,0,0,0,0,NA,5750,24.1
"Brewers_grains,_dried",100,26.2,15.7,8.6,4.5,0.9,57.3,22.1,5.6,53.6,7,6.8,1.3,NA,4960,20.7
"Brewers_yeast,_dried",100,47.6,1.9,4,7,0.6,8.3,2.4,0.7,7.5,8.6,6.5,1.9,NA,4740,19.8
"Buckwheat_hulls",100,7.1,48.7,1,2.6,0.4,82.7,64.7,28.2,89,3,0.6,1,NA,4630,19.4
"Ca_Al_Fe_phosphate",100,0,0,0,100,1.1,0,0,0,0,0,0,0,NA,0,0
"Calcium_carbonate",100,0,0,0,99.5,1,0,0,0,0,0,0,0,NA,0,0
"Calcium_chloride_anhydrous",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_chloride_dihydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_iodate_anhydrous",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_iodate_hexahydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_iodide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_magnesium_phosphate",100,0,0,0,100,1.1,0,0,0,0,0,0,0,NA,0,0
"Calcium_selenite",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_sulfate_anhydrous",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Calcium_sulfate_dihydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Camelina_oil_meal,_oil_>_5%",100,37.9,12.2,13.5,6,0.3,25.3,17,7.6,31.1,6.6,1.6,4.4,NA,5250,22
"Canola_meal,_oil_<_5%",100,41,12.7,3.6,7.8,0.3,27.8,18.2,8.2,33,7.5,1.6,10.5,NA,4700,19.7
"Carob_pod_meal",100,5,10.3,0.7,3.5,0.01,33.7,31.5,18,40.9,1.6,0.7,45.4,NA,4190,17.5
"Cassava_pulp,_dried",100,2.3,17.3,0.7,4,1.5,36.9,18.6,3.9,36,53.4,NA,3.3,NA,4190,17.6
"Cassava,_starch_66-70%",100,2.9,4.3,0.7,4.5,1.4,8.9,6,1.6,8.1,78.3,75,2.4,NA,4010,16.8
"Cassava,_starch_70-74%",100,2.8,3.4,0.7,3.1,0.7,7.6,4.8,1.2,6.8,82.2,78.8,2.7,NA,4060,17
"Cereal_offal,_crude_fibre_>_14%",100,11.1,18.2,6.1,7.9,3,56.1,30.9,5.4,55.1,24.6,20.8,7.8,NA,4510,18.9
"Cereal_offal,_crude_fibre_5-14%",100,11.7,13.3,5.3,6.7,2.3,37.4,14.4,3.4,36.6,34.7,30.1,7.3,NA,4490,18.8
"Chickpea,_kabuli_type",100,21.3,3.9,6.3,3.3,0.1,11.3,4.5,0.2,11.7,50.2,35.1,6,NA,4670,19.6
"Chicory_pulp,_dehydrated",100,8.7,21.2,1.7,7.1,2.7,35.9,28,17.5,35.1,0,0,9.8,NA,4140,17.3
"Citrus_pulp,_dried",100,7,14,2.5,6.9,0.3,21.6,15.9,2.5,48,6.6,0.05,24.4,NA,4190,17.6
"Citrus_pulp,_fresh",100,6.5,12.1,4.3,4.4,0.3,19.7,14.3,2,11.9,4.4,0.05,25.8,NA,4380,18.3
"Cobalt_carbonate_FG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Cobalt_glucoheptonate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Cobalt_oxide_FG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Cobalt_selenite",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Cobalt_sulfate_heptahydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Cocoa_hulls",100,17.8,20.7,6,9.4,0.8,46.5,36.3,18.3,45.6,7.8,2.5,1,NA,4490,18.8
"Cocoa_meal,_oil_<_5%",100,27.6,15.4,1,10.8,1.5,41.7,31.2,16.3,40.8,11.4,8,0.9,NA,4260,17.8
"Cod_liver_oil",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Common_bean",100,24.9,5.2,1.6,4.6,0.07,13.3,7.4,0.2,15,40.7,37.8,4.9,NA,4350,18.2
"Common_vetch",100,28.3,4.8,1.3,3.8,0.1,21.5,8.4,1.7,15.4,42.5,43.5,1.8,NA,4410,18.5
"Copper_acetate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_carbonate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_chloride_dihydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_chloride_tribasic",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_citrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_lysine",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_methionine",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_oxide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_proteinate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copper_sulfate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Copra_meal,_oil_<_5%",100,23.4,13.6,3.6,7.1,0.6,53.6,27.5,6.3,42.9,0.3,1.6,11,NA,4480,18.8
"Copra_meal,_oil_5-20%",100,22.4,14.1,10.1,6.8,0.4,53.8,27.8,6.4,43.4,0.4,0.9,11.1,NA,4830,20.2
"Copra_oil",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Corn_gluten_feed",100,21.6,9,2.8,6.5,1.2,39.9,10.6,1.3,39.3,20.5,17.1,1.9,NA,4470,18.7
"Corn_gluten_meal",100,67.8,1.5,6.6,2,0.1,4,1.4,0.2,3.9,17.1,13.7,0.5,NA,5720,23.9
"Cottonseed_hulls",100,5.2,52.6,3.1,3.1,0.2,84.8,65.3,18.1,93.5,4.2,0,0,NA,4730,19.8
"Cottonseed_meal,_oil_<_5%,_crude_fibre_<_15%",100,47,12.9,2.7,7.3,0.2,26.8,17.8,6,30.4,3.2,1.9,5.2,NA,4890,20.5
"Cottonseed_meal,_oil_<_5%,_crude_fibre_15-20%",100,40.7,19,2.8,7.1,0.1,35.8,25.1,7.9,40.1,5.6,1.9,2.1,NA,4860,20.4
"Cottonseed_meal,_oil_5-20%,_crude_fibre_<_15%",100,45.5,10.5,10.2,7.3,0.3,23.3,14.9,5.3,26.5,3.1,1.8,5,NA,5230,21.9
"Cottonseed_meal,_oil_5-20%,_crude_fibre_15-20%",100,36.6,19.3,8.1,6.3,0.4,36.1,25.4,8,40.5,1.9,1.8,5,NA,5110,21.4
"Cottonseed,_whole",100,22,27.6,19.8,4.3,0.1,45.6,35.4,10.5,53.8,2.1,1,2.1,NA,5680,23.8
"Cottonseed,_whole,_extruded",100,22,27.6,19.8,4.3,0.1,45.6,35.4,10.5,53.8,2.1,1,2.1,NA,5680,23.8
"Cowpea_seed",100,25,4.7,1.5,4.3,0.1,14.4,6.2,0.5,13.5,47,44.2,4.6,NA,4350,18.2
"Diammonium_phosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Dicalcium_phosphate_anhydrous",100,0,0,0,91.3,1.1,0,0,0,0,0,0,0,NA,0,0
"Dicalcium_phosphate_dihydrate",100,0,0,0,91.9,1.1,0,0,0,0,0,0,0,NA,0,0
"Diiodosalicylic_acid",100,0,0,0,0.2,0,0,0,0,0,0,0,0,NA,0,0
"Disodium_phosphate_anhydrous",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Disodium_phosphate_hydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"DL-methionine",100,58.7,0,0,0,0,0,0,0,0,0,0,0,NA,5670,23.7
"Dolomite_limestone",100,0,0,0,97.2,0,0,0,0,0,0,0,0,NA,0,0
"Ethylenediamine_dihydroiodide",100,0,0,0,0.3,0,0,0,0,0,0,0,0,NA,0,0
"Faba_bean,_coloured_flowers",100,29.5,9,1.5,3.8,0.1,15.5,11.2,0.9,18.4,44.2,39.6,3.4,NA,4480,18.7
"Faba_bean,_coloured_flowers,_extruded",100,29.5,9,1.5,3.8,0.1,15.5,11.2,0.9,18.4,44.2,39.6,3.4,NA,4480,18.7
"Faba_bean,_white_flowers",100,31.1,8.6,1.2,4,0.1,15,10.3,0.8,17.5,43.1,35.1,4.1,NA,4470,18.7
"Feather_meal",100,85.7,1.4,9.2,5.6,0.3,7.3,5.5,0,6.4,0,0,0.3,NA,5640,23.6
"Ferric_chloride",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_citrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_phosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_polyphosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_pyrophosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferric_sodium_pyrophosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferrous_carbonate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Ferrous_chloride",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
