Variable,Definition,Group,crop_total_ghg_crop_kgCO2e,herd_feed_farm_total_ghg_crop_kgCO2e,herd_feed_pseudofarm_total_ghg_crop_kgCO2e,herd_farm_ghge_herd_kgCO2e,herd_pseudofarm_ghge_herd_kgCO2e,herd_purchased_feed_ghge_kgCO2e,farm_total_ghge_kgCO2e,pseudofarm_total_ghge_kgCO2e,farm_total_CO2_kgCO2e,pseudofarm_total_CO2_kgCO2e,farm_total_N2O_kgCO2e,pseudofarm_total_N2O_kgCO2e,farm_total_CH4_kgCO2e,pseudofarm_total_CH4_kgCO2e
Crop emissions,,,,,,,,,,,,,,,,
crop_N2O_d_kgCO2e,"Direct N2O emissions from managed soils (synthetic/organic fertilizers, crop residues, grazing dung/urine)",Crop emissions,✓,,,,,,✓,✓,,,✓,✓,,
crop_N2O_ATD_kgCO2e,Indirect N2O from atmospheric deposition of volatilized nitrogen (NH3/NOx),Crop emissions,✓,,,,,,✓,✓,,,✓,✓,,
crop_N2O_L_kgCO2e,Indirect N2O from leaching and runoff of nitrogen from managed soils,Crop emissions,✓,,,,,,✓,✓,,,✓,✓,,
crop_ghg_diesel_tillage_kgCO2e,GHG emissions from diesel use for tillage operations,Crop emissions,✓,,,,,,✓,✓,✓,✓,,,,
crop_ghg_diesel_remain_kgCO2e,"GHG emissions from diesel use for remaining crop operations (seeding, spraying, harvest)",Crop emissions,✓,,,,,,✓,✓,✓,✓,,,,
crop_ghg_heat_fuel_kgCO2e,"GHG emissions from heating fuel combustion for crop activities (greenhouses, drying)",Crop emissions,✓,,,,,,✓,✓,✓,✓,,,,
crop_ghg_elec_kgCO2e,"GHG emissions from electricity use allocated to crop activities (irrigation, processing)",Crop emissions,✓,,,,,,✓,✓,✓,✓,,,,
crop_ghg_ferti_prod_kgCO2e,"Upstream GHG emissions from synthetic fertilizer production (manufacturing, transport)",Crop emissions,✓,,,,,,,✓,,✓,,,,
Herd feed – farm,,,,,,,,,,,,,,,,
herd_feed_farm_N2O_d_kgCO2e,Direct N2O from managed soils for on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,,,✓,✓,,
herd_feed_farm_N2O_ATD_kgCO2e,Indirect N2O (atmospheric deposition) from on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,,,✓,✓,,
herd_feed_farm_N2O_L_kgCO2e,Indirect N2O (leaching) from on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,,,✓,✓,,
herd_feed_farm_ghg_ferti_prod_kgCO2e,Fertilizer production GHG for on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,,acc.,,,,
herd_feed_farm_ghg_diesel_tillage_kgCO2e,Tillage diesel GHG for on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,acc.,acc.,,,,
herd_feed_farm_ghg_diesel_remain_kgCO2e,Remaining diesel GHG for on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,acc.,acc.,,,,
herd_feed_farm_ghg_heat_fuel_kgCO2e,Heating fuel GHG for on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,acc.,acc.,,,,
herd_feed_farm_ghg_elec_kgCO2e,Electricity GHG for on-farm feed production,Herd feed — on‑farm,,✓,,✓,,,acc.,acc.,acc.,acc.,,,,
Herd feed – pseudofarm,,,,,,,,,,,,,,,,
herd_feed_pseudofarm_N2O_d_kgCO2e,Direct N2O from all feed managed soils (on-farm + off-farm practices),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,,,✓₋f,,
herd_feed_pseudofarm_N2O_ATD_kgCO2e,Indirect N2O (atmospheric deposition) from all feed (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,,,✓₋f,,
herd_feed_pseudofarm_N2O_L_kgCO2e,Indirect N2O (leaching) from all feed (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,,,✓₋f,,
herd_feed_pseudofarm_ghg_ferti_prod_kgCO2e,Fertilizer production GHG for all feed (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,✓₋f,,,,
