"fadn_variable","national_variable","fadn_table","national_table","conversion_factor","notes"
"TF_PART3","OTE62E","FARM CLASSIFICATION",,,"Particular TF (3 digits) Typology  -  NA"
"TF_PRIN2","OTEXE","FARM CLASSIFICATION",,,"Principal TF (2 digits)  -  2-digit Calculated by DG AGRI (cf Typology Regulation)"
"TF_SUBP4","OTE64F","FARM CLASSIFICATION",,,"Subparticular TF (4 digits)  -  4-digit Calculated by DG AGRI (cf Typology Regulation)"
"YEAR","MILEX","FARM CLASSIFICATION",,,"Year  -  accounting year"
"IELE_Q","ELECTQUA","French RICA",,,"Farming overheads. Electricity. Quantity  -  in kWh"
"IFULS_Q","CHRCAQG","French RICA",,,"Motor fuels and lubricants Quantity  -  in L"
"IHFULS_Q","CHRCOQF","French RICA",,,"Heating fuels Quantity  -  in L"
"SIRET","SIRET","French RICA",,,"French firm identifier  -  NA"
"IRRAA_X","SAUIR","GENERAL INFORMATION",,,"UAA under irrigation  -  in ha"
"NUTS1","NREG","GENERAL INFORMATION",,,"NUTS NUTS1  -  only on demand - estimate by DG AGRI based on geographic information of farm"
"NUTS2","REGIO","GENERAL INFORMATION",,,"NUTS NUTS2  -  only on demand - estimate by DG AGRI based on geographic information of farm"
"NUTS3","CDEPT","GENERAL INFORMATION",,,"NUTS NUTS3  -  only on demand - estimate by DG AGRI based on geographic information of farm"
"ORGANIC","AGBIO","GENERAL INFORMATION",,,"Organic farming Code  -  From 2000"
"SIZC","CDEXE","GENERAL INFORMATION",,,"Economic size class (cf. EU typology)  -  Calculated by DG AGRI"
"TF","OTE64F","GENERAL INFORMATION",,,"Subd/Part TF (3 digits + 0)  -  idem as A30"
"IELE_V","ELECT","INPUTS",,,"Farming overheads. Electricity. Value  -  in EUR"
"IFULS_V","CHRCAVG","INPUTS",,,"Motor fuels and lubricants Value  -  in EUR"
"IGRFEDCNCTRPUR_V","AUTAC","INPUTS",,,"Purchased concentrated feedstuffs for grazing stock (equines, ruminants) Value  -  in EUR"
"IGRFEDCRSPUR_V","AUTAG","INPUTS",,,"Purchased coarse fodder for grazing stock (equines, ruminants) Value  -  in EUR"
"IHFULS_V","CHRCOVF","INPUTS",,,"Heating fuels Value  -  in EUR"
"IKUSE_Q","CONSOK","INPUTS",,,"Quantity of K2O used in mineral fertilisers Quantity  -  in tonnes"
"INUSE_Q","CONSON","INPUTS",,,"Quantity of N used in mineral fertilisers Quantity  -  in tonnes"
"IPIGFEDPUR_V","PORAC","INPUTS",,,"Purchased feedstuffs for pigs Value  -  in EUR"
"IPLTRFEDPUR_V","VLLAC","INPUTS",,,"Purchased feedstuffs for poultry and other small animals Value  -  in EUR"
"IPROT_V","CHRPH","INPUTS",,,"Crop protection products Value  -  in EUR"
"IPUSE_Q","CONSOP","INPUTS",,,"Quantity of P2O5 used in mineral fertilisers Quantity  -  in tonnes"
"ID","IDENT","REFERENCE",,,"Unique Identifier  -  Anonymous code allowing constant sample"
"SYS02","EXTR2","REFERENCE",,,"Farms represented  -  number of farm represented in the population"
"SE025","SAUTI","STANDARD RESULTS",,,"Total Utilised Agricultural Area  -  Area in ha"
"SE080","UGBTO","STANDARD RESULTS",,,"Total livestock units  -  in Livestock unit (conversion coefficients see RICC 1750)"
